rate,year,sex,flag,totpop,totdeath,stderr,glower,gupper
0.8237701775,2003,F,Neither,3073287,27,0.1594476098,0.5414296445,1.2096451179
3.4622082984,2003,M,Neither,3053598,105,0.3410592208,2.8261121827,4.2221278236
2.1257797551,2003,T,Neither,6126885,132,0.1855698789,1.7776470791,2.5263957054
1.2249805706,2003,F,Both,3073287,38,0.1992186484,0.8660482537,1.6886712203
2.4453994832,2003,M,Both,3053598,79,0.2756228197,1.9351861852,3.0766012471
1.8389077059,2003,T,Both,6126885,117,0.1703965233,1.5201333883,2.2095770921
5.5893721727,2003,F,Prescription,3073287,177,0.4216925374,4.7934033683,6.4855272647
6.121214796,2003,M,Prescription,3053598,196,0.4383239351,5.2922192764,7.0680631238
5.8795655737,2003,T,Prescription,6126885,373,0.3053988959,5.2961582724,6.5140092131
1.0614694012,2003,F,Illicit,3073287,33,0.1853496138,0.729743339,1.4983772497
3.4508283433,2003,M,Illicit,3053598,110,0.3299000552,2.8346057605,4.1872681608
2.2610356629,2003,T,Illicit,6126885,143,0.1895429037,1.9048092035,2.6691177875
1.3025623888,2004,F,Neither,3113248,41,0.2046135005,0.9327798952,1.7766928541
2.6678899455,2004,M,Neither,3095267,83,0.2962602595,2.1189895358,3.3376747219
1.9578207014,2004,T,Neither,6208515,124,0.1768236572,1.6266175632,2.341195781
1.3899347178,2004,F,Both,3113248,43,0.2129369791,1.0042864735,1.8805748316
2.9506437651,2004,M,Both,3095267,95,0.3037696665,2.3854164494,3.6334823773
2.1737627165,2004,T,Both,6208515,138,0.1857558306,1.8249476142,2.5744629449
6.4200686033,2004,F,Prescription,3113248,207,0.4485098697,5.5710483323,7.3683822931
8.0152518195,2004,M,Prescription,3095267,257,0.502475855,7.0605836125,9.0846466657
7.2202624293,2004,T,Prescription,6208515,464,0.3367331928,6.575275446,7.9158847923
1.2683556409,2004,F,Illicit,3113248,40,0.2011211266,0.9051816411,1.7355228618
3.0213726512,2004,M,Illicit,3095267,98,0.3065689931,2.4504908939,3.7094749682
2.1440985331,2004,T,Illicit,6208515,138,0.1832146573,1.8000547627,2.539645849
1.5611120283,2005,F,Neither,3157558,53,0.2165573756,1.1657948153,2.0562317606
2.9913610438,2005,M,Neither,3141258,96,0.3086137615,2.4171862335,3.6808231474
2.2771035718,2005,T,Neither,6298816,149,0.1876668801,1.9241441253,2.6809148569
1.1091738573,2005,F,Both,3157558,36,0.1861022307,0.774830425,1.5465238566
3.0576865726,2005,M,Both,3141258,101,0.3055648009,2.4882157912,3.7400648073
2.0923786505,2005,T,Both,6298816,137,0.1796945592,1.7550202951,2.4806137132
6.982786484,2005,F,Prescription,3157558,232,0.4618284263,6.1068876551,7.9561766142
8.3461695872,2005,M,Prescription,3141258,275,0.5070597192,7.3818423493,9.4209284998
7.6780874664,2005,T,Prescription,6298816,507,0.3430749081,7.0203079317,8.3855471656
0.6982241299,2005,F,Illicit,3157558,23,0.1465599852,0.4411162597,1.0593697551
3.2371031829,2005,M,Illicit,3141258,107,0.3144083709,2.6502870459,3.9366170493
1.9749175491,2005,T,Illicit,6298816,130,0.174148565,1.6483618818,2.3522741207
1.6399277745,2006,F,Neither,3217341,54,0.2251488026,1.2286088316,2.1518475324
2.6511888306,2006,M,Neither,3202917,85,0.2907570183,2.1120915181,3.3028164164
2.1388171938,2006,T,Neither,6420258,139,0.1828599428,1.795447563,2.533082197
1.3509921288,2006,F,Both,3217341,44,0.2049465085,0.9795099949,1.8239708082
3.392839954,2006,M,Both,3202917,115,0.3179894386,2.7982818399,4.0953981055
2.3818994581,2006,T,Both,6420258,159,0.1899899428,2.0240805323,2.7896342805
8.3525722898,2006,F,Prescription,3217341,281,0.5026828995,7.3962914923,9.4050475158
8.0121419427,2006,M,Prescription,3202917,267,0.4944020278,7.0723429465,9.058966162
8.194513064,2006,T,Prescription,6420258,548,0.352688418,7.5177442225,8.9203522524
0.8324597613,2006,F,Illicit,3217341,27,0.1614153984,0.5466904815,1.2217823546
3.1176768921,2006,M,Illicit,3202917,105,0.3061435894,2.5466067189,3.7974860363
1.9802849397,2006,T,Illicit,6420258,132,0.1736000251,1.6546704675,2.3561192527
1.6120190775,2007,F,Neither,3268945,56,0.2182312889,1.2129240567,2.1083803167
3.448701228,2007,M,Neither,3256141,116,0.3233867826,2.8440663069,4.1596818325
2.5483244592,2007,T,Neither,6525086,172,0.1962518329,2.1781867818,2.9681817389
1.4996204468,2007,F,Both,3268945,50,0.2139450862,1.1099085928,1.988543174
2.7054409152,2007,M,Both,3256141,93,0.2820999006,2.180900119,3.3354649881
2.1104278361,2007,T,Both,6525086,143,0.177704374,1.7765152544,2.4939711444
8.2249589369,2007,F,Prescription,3268945,279,0.4982550999,7.2772919304,9.2678950265
9.1384877438,2007,M,Prescription,3256141,309,0.5246791279,8.1389580739,10.241767794
8.6883393709,2007,T,Prescription,6525086,588,0.3616656213,7.9938530156,9.4315810102
1.1064726821,2007,F,Illicit,3268945,38,0.181380877,0.7799132816,1.5318028295
3.6608267703,2007,M,Illicit,3256141,121,0.3349435923,3.0338390216,4.3945656076
2.3979973367,2007,T,Illicit,6525086,159,0.1916625686,2.0370584868,2.8090873652
1.6083113721,2008,F,Neither,3309912,54,0.2218323331,1.2031910913,2.1126033888
3.4902189429,2008,M,Neither,3298333,117,0.3265472515,2.8796079026,4.2071415537
2.5396861718,2008,T,Neither,6608245,171,0.1962873139,2.1695342396,2.9596514156
