rate,year,sex,drugname,totpop,totdeath,stderr,glower,gupper
0.2188504184,2003,F,ACETAMINOPHEN,3073287,7,0.0829308198,0.0877358137,0.4617248414
0.4736149385,2003,M,ACETAMINOPHEN,3053598,15,0.1226585187,0.264543002,0.8174627431
0.3471986135,2003,T,ACETAMINOPHEN,6126885,22,0.0742685082,0.2172106603,0.5321639955
0.9559015261,2003,F,ALCOHOL,3073287,30,0.1752097704,0.6438451522,1.3730788835
3.899549281,2003,M,ALCOHOL,3053598,124,0.3515253642,3.2410587203,4.6780216623
2.4245833869,2003,T,ALCOHOL,6126885,154,0.1959089549,2.0558146008,2.8450291898
0.2101242042,2003,F,ALPRAZOLAM,3073287,7,0.0795205972,0.0843605589,0.4459383082
0.531341091,2003,M,ALPRAZOLAM,3053598,17,0.1291016575,0.3091829585,0.8864464508
0.3748540129,2003,T,ALPRAZOLAM,6126885,24,0.0767598078,0.2397983833,0.5644119448
0.9796430581,2003,F,AMITRIPTYLINE,3073287,31,0.1765668114,0.6646289526,1.3991817957
0.909742637,2003,M,AMITRIPTYLINE,3053598,29,0.1697023023,0.6080476832,1.3398381466
0.9403053377,2003,T,AMITRIPTYLINE,6126885,60,0.1217977661,0.7168609141,1.2165215978
0.8229010768,2003,F,CITALOPRAM,3073287,26,0.1618065682,0.5368829636,1.2140978009
0.7022344639,2003,M,CITALOPRAM,3053598,23,0.1465547442,0.444957486,1.0884916552
0.7596259613,2003,T,CITALOPRAM,6126885,49,0.1087149555,0.5616446849,1.0103515369
1.5214179731,2003,F,COCAINE,3073287,47,0.2226303794,1.1166948487,2.0305468453
3.2150032604,2003,M,COCAINE,3053598,104,0.3158784154,2.6257911584,3.9238582932
2.3722601612,2003,T,COCAINE,6126885,151,0.1935645439,2.008053996,2.7880997014
0.8666668325,2003,F,DIAZEPAM,3073287,27,0.1671634826,0.5705496926,1.2684961955
1.022367855,2003,M,DIAZEPAM,3053598,33,0.1782830268,0.7032474358,1.4680456458
0.9447411216,2003,T,DIAZEPAM,6126885,60,0.1222099842,0.7205197149,1.2217844289
1.1029213498,2003,F,DIPHENHYDRAMINE,3073287,34,0.1896672841,0.7629656956,1.5483676024
0.9677177321,2003,M,DIPHENHYDRAMINE,3053598,31,0.174083842,0.6570734083,1.4057181636
1.0363246124,2003,T,DIPHENHYDRAMINE,6126885,65,0.1288553472,0.799272329,1.3264359214
0.4129956628,2003,F,HEROIN,3073287,13,0.1148674814,0.2194500793,0.7151662358
1.7397555846,2003,M,HEROIN,3053598,55,0.2354263778,1.3092016201,2.2945154971
1.0769646034,2003,T,HEROIN,6126885,68,0.1309467458,0.8357097256,1.3710432658
0.8027942097,2003,F,HYDROCODONE,3073287,25,0.1610065935,0.5188265167,1.1928576245
0.4635891477,2003,M,HYDROCODONE,3053598,15,0.1201694851,0.258788183,0.802488435
0.6301375308,2003,T,HYDROCODONE,6126885,40,0.0999318384,0.4496877349,0.8641810948
1.8671506838,2003,F,METHADONE,3073287,59,0.2438754744,1.420009406,2.4168316514
3.0275396102,2003,M,METHADONE,3053598,98,0.3064146353,2.456867938,3.7180821694
2.4504429469,2003,T,METHADONE,6126885,157,0.1960758372,2.0812102814,2.8710862161
0.6837340248,2003,F,METHAMPHETAMINE,3073287,21,0.1493477145,0.4230214263,1.0517706741
