year,sex,agegrp,Flag,deaths,pop,rate
Tot,F,Total,Neither,395,25856542,1.5276598085
Tot,F,Total,Both,337,25856542,1.3033452037
Tot,F,Total,Prescription,2114,25856542,8.1758805953
Tot,F,Total,Illicit,259,25856542,1.0016807352
Tot,F,0-9,Neither,1,3292280,0.0303740873
Tot,F,0-9,Both,0,3292280,0
Tot,F,0-9,Prescription,4,3292280,0.121496349
Tot,F,0-9,Illicit,1,3292280,0.0303740873
Tot,F,10-19,Neither,14,3498983,0.4001162624
Tot,F,10-19,Both,4,3498983,0.1143189321
Tot,F,10-19,Prescription,33,3498983,0.9431311898
Tot,F,10-19,Illicit,9,3498983,0.2572175972
Tot,F,20-29,Neither,36,3535346,1.0182878847
Tot,F,20-29,Both,41,3535346,1.1597167576
Tot,F,20-29,Prescription,157,3535346,4.4408666082
Tot,F,20-29,Illicit,42,3535346,1.1880025321
Tot,F,30-39,Neither,72,3493900,2.0607344229
Tot,F,30-39,Both,74,3493900,2.1179770457
Tot,F,30-39,Prescription,359,3493900,10.275050803
Tot,F,30-39,Illicit,48,3493900,1.3738229486
Tot,F,40-49,Neither,111,3883010,2.8586071115
Tot,F,40-49,Both,142,3883010,3.6569568453
Tot,F,40-49,Prescription,668,3883010,17.203149103
Tot,F,40-49,Illicit,96,3883010,2.4723088532
Tot,F,50-59,Neither,92,3538432,2.6000217045
Tot,F,50-59,Both,69,3538432,1.9500162784
Tot,F,50-59,Prescription,618,3538432,17.465363189
Tot,F,50-59,Illicit,55,3538432,1.5543608016
Tot,F,60-69,Neither,33,2178612,1.5147258897
Tot,F,60-69,Both,7,2178612,0.3213054918
Tot,F,60-69,Prescription,180,2178612,8.2621412165
Tot,F,60-69,Illicit,8,2178612,0.3672062763
Tot,F,70-79,Neither,13,1347246,0.9649314231
Tot,F,70-79,Both,0,1347246,0
Tot,F,70-79,Prescription,57,1347246,4.2308531627
Tot,F,70-79,Illicit,0,1347246,0
Tot,F,80+,Neither,23,1088733,2.1125473371
Tot,F,80+,Both,0,1088733,0
Tot,F,80+,Prescription,38,1088733,3.4902956005
Tot,F,80+,Illicit,0,1088733,0
Tot,M,Total,Neither,840,25727962,3.2649301954
Tot,M,Total,Both,697,25727962,2.7091146979
Tot,M,Total,Prescription,2306,25727962,8.9630107507
Tot,M,Total,Illicit,869,25727962,3.3776480236
Tot,M,0-9,Neither,4,3453065,0.1158391168
Tot,M,0-9,Both,0,3453065,0
Tot,M,0-9,Prescription,6,3453065,0.1737586753
Tot,M,0-9,Illicit,0,3453065,0
Tot,M,10-19,Neither,34,3687725,0.921977642
Tot,M,10-19,Both,15,3687725,0.4067548421
Tot,M,10-19,Prescription,77,3687725,2.0880081893
Tot,M,10-19,Illicit,14,3687725,0.3796378526
Tot,M,20-29,Neither,105,3714637,2.8266557405
Tot,M,20-29,Both,139,3714637,3.7419537898
Tot,M,20-29,Prescription,312,3714637,8.399205629
Tot,M,20-29,Illicit,137,3714637,3.6881127281
Tot,M,30-39,Neither,159,3641288,4.3665867682
Tot,M,30-39,Both,132,3641288,3.6250909019
Tot,M,30-39,Prescription,418,3641288,11.479454523
Tot,M,30-39,Illicit,172,3641288,4.7236032964
Tot,M,40-49,Neither,226,3920939,5.763925427
Tot,M,40-49,Both,216,3920939,5.5088844789
Tot,M,40-49,Prescription,727,3920939,18.541476927
Tot,M,40-49,Illicit,315,3920939,8.0337898651
Tot,M,50-59,Neither,199,3452607,5.7637605438
Tot,M,50-59,Both,179,3452607,5.1844881274
Tot,M,50-59,Prescription,577,3452607,16.712009215
Tot,M,50-59,Illicit,196,3452607,5.6768696814
Tot,M,60-69,Neither,54,2086040,2.588636843
Tot,M,60-69,Both,14,2086040,0.6711280704
Tot,M,60-69,Prescription,131,2086040,6.2798412303
Tot,M,60-69,Illicit,31,2086040,1.4860692988
Tot,M,70-79,Neither,37,1135947,3.2571942177
Tot,M,70-79,Both,2,1135947,0.1760645523
Tot,M,70-79,Prescription,28,1135947,2.4649037323
Tot,M,70-79,Illicit,4,1135947,0.3521291046
Tot,M,80+,Neither,22,635714,3.4606757127
Tot,M,80+,Both,0,635714,0
Tot,M,80+,Prescription,30,635714,4.7191032445
Tot,M,80+,Illicit,0,635714,0
Tot,T,Total,Neither,1235,51584504,2.394129834
Tot,T,Total,Both,1034,51584504,2.0044779339
Tot,T,Total,Prescription,4420,51584504,8.5684646692
Tot,T,Total,Illicit,1128,51584504,2.1867032006
Tot,T,0-9,Neither,5,6745345,0.074125193
Tot,T,0-9,Both,0,6745345,0
Tot,T,0-9,Prescription,10,6745345,0.148250386
Tot,T,0-9,Illicit,1,6745345,0.0148250386
Tot,T,10-19,Neither,48,7186708,0.6678996837
Tot,T,10-19,Both,19,7186708,0.2643769581
Tot,T,10-19,Prescription,110,7186708,1.5306034418
Tot,T,10-19,Illicit,23,7186708,0.3200352651
Tot,T,20-29,Neither,141,7249983,1.9448321465
Tot,T,20-29,Both,180,7249983,2.4827644423
Tot,T,20-29,Prescription,469,7249983,6.4689806859
Tot,T,20-29,Illicit,179,7249983,2.4689713066
Tot,T,30-39,Neither,231,7135188,3.2374760132
Tot,T,30-39,Both,206,7135188,2.8870998213
Tot,T,30-39,Prescription,777,7135188,10.889692045
Tot,T,30-39,Illicit,220,7135188,3.0833104888
Tot,T,40-49,Neither,337,7803949,4.3183265293
Tot,T,40-49,Both,358,7803949,4.5874210608
Tot,T,40-49,Prescription,1395,7803949,17.875565307
Tot,T,40-49,Illicit,411,7803949,5.2665644022
Tot,T,50-59,Neither,291,6991039,4.1624714152
Tot,T,50-59,Both,248,6991039,3.5473983195
Tot,T,50-59,Prescription,1195,6991039,17.093310451
Tot,T,50-59,Illicit,251,6991039,3.5903103959
Tot,T,60-69,Neither,87,4264652,2.0400257747
Tot,T,60-69,Both,21,4264652,0.4924200146
Tot,T,60-69,Prescription,311,4264652,7.2925059301
Tot,T,60-69,Illicit,39,4264652,0.9144943128
Tot,T,70-79,Neither,50,2483193,2.0135366039
Tot,T,70-79,Both,2,2483193,0.0805414642
Tot,T,70-79,Prescription,85,2483193,3.4230122266
Tot,T,70-79,Illicit,4,2483193,0.1610829283
Tot,T,80+,Neither,45,1724447,2.6095322153
Tot,T,80+,Both,0,1724447,0
Tot,T,80+,Prescription,68,1724447,3.9432931253
Tot,T,80+,Illicit,0,1724447,0
2003,F,Total,Neither,27,3073287,0.8785381905
2003,F,Total,Both,38,3073287,1.2364611571
2003,F,Total,Prescription,177,3073287,5.7593059158
2003,F,Total,Illicit,33,3073287,1.0737688996
2003,F,0-9,Neither,0,397542,0
2003,F,0-9,Both,0,397542,0
2003,F,0-9,Prescription,0,397542,0
2003,F,0-9,Illicit,0,397542,0
2003,F,10-19,Neither,1,432319,0.2313106757
2003,F,10-19,Both,0,432319,0
2003,F,10-19,Prescription,5,432319,1.1565533784
2003,F,10-19,Illicit,0,432319,0
2003,F,20-29,Neither,2,404420,0.494535384
2003,F,20-29,Both,5,404420,1.23633846
2003,F,20-29,Prescription,14,404420,3.461747688
2003,F,20-29,Illicit,7,404420,1.730873844
2003,F,30-39,Neither,3,440948,0.6803523318
2003,F,30-39,Both,9,440948,2.0410569954
2003,F,30-39,Prescription,34,440948,7.7106597603
2003,F,30-39,Illicit,7,440948,1.5874887742
2003,F,40-49,Neither,11,490248,2.2437623407
2003,F,40-49,Both,17,490248,3.4676327083
2003,F,40-49,Prescription,67,490248,13.666552439
2003,F,40-49,Illicit,14,490248,2.8556975245
2003,F,50-59,Neither,5,392084,1.275236939
2003,F,50-59,Both,6,392084,1.5302843268
2003,F,50-59,Prescription,41,392084,10.4569429
2003,F,50-59,Illicit,5,392084,1.275236939
2003,F,60-69,Neither,1,221759,0.4509399844
2003,F,60-69,Both,1,221759,0.4509399844
2003,F,60-69,Prescription,7,221759,3.1565798908
2003,F,60-69,Illicit,0,221759,0
2003,F,70-79,Neither,0,166658,0
2003,F,70-79,Both,0,166658,0
2003,F,70-79,Prescription,7,166658,4.2002184114
2003,F,70-79,Illicit,0,166658,0
2003,F,80+,Neither,4,127309,3.1419616838
2003,F,80+,Both,0,127309,0
2003,F,80+,Prescription,2,127309,1.5709808419
2003,F,80+,Illicit,0,127309,0
2003,M,Total,Neither,105,3053598,3.4385665697
2003,M,Total,Both,79,3053598,2.5871119905
2003,M,Total,Prescription,196,3053598,6.4186575967
2003,M,Total,Illicit,110,3053598,3.6023078349
2003,M,0-9,Neither,0,417431,0
2003,M,0-9,Both,0,417431,0
2003,M,0-9,Prescription,0,417431,0
2003,M,0-9,Illicit,0,417431,0
2003,M,10-19,Neither,1,456164,0.2192194035
2003,M,10-19,Both,2,456164,0.4384388071
2003,M,10-19,Prescription,4,456164,0.8768776142
2003,M,10-19,Illicit,3,456164,0.6576582106
2003,M,20-29,Neither,9,426376,2.1108129914
2003,M,20-29,Both,13,426376,3.0489520986
2003,M,20-29,Prescription,24,426376,5.6288346436
2003,M,20-29,Illicit,19,426376,4.4561607595
2003,M,30-39,Neither,35,458476,7.6339873843
2003,M,30-39,Both,16,458476,3.4898228042
2003,M,30-39,Prescription,46,458476,10.033240562
2003,M,30-39,Illicit,20,458476,4.3622785053
2003,M,40-49,Neither,31,490564,6.3192570185
2003,M,40-49,Both,26,490564,5.3000220155
2003,M,40-49,Prescription,65,490564,13.250055039
2003,M,40-49,Illicit,46,490564,9.3769620274
2003,M,50-59,Neither,17,384547,4.4207860158
2003,M,50-59,Both,22,384547,5.7210171969
2003,M,50-59,Prescription,46,384547,11.962126866
2003,M,50-59,Illicit,20,384547,5.2009247244
2003,M,60-69,Neither,4,213093,1.877114687
2003,M,60-69,Both,0,213093,0
2003,M,60-69,Prescription,10,213093,4.6927867175
2003,M,60-69,Illicit,1,213093,0.4692786718
2003,M,70-79,Neither,2,134474,1.4872763508
2003,M,70-79,Both,0,134474,0
2003,M,70-79,Prescription,0,134474,0
2003,M,70-79,Illicit,1,134474,0.7436381754
2003,M,80+,Neither,6,72473,8.2789452624
2003,M,80+,Both,0,72473,0
2003,M,80+,Prescription,1,72473,1.3798242104
2003,M,80+,Illicit,0,72473,0
2003,T,Total,Neither,132,6126885,2.1544390012
2003,T,Total,Both,117,6126885,1.9096163874
2003,T,Total,Prescription,373,6126885,6.0879223292
2003,T,Total,Illicit,143,6126885,2.3339755847
2003,T,0-9,Neither,0,814973,0
2003,T,0-9,Both,0,814973,0
2003,T,0-9,Prescription,0,814973,0
2003,T,0-9,Illicit,0,814973,0
2003,T,10-19,Neither,2,888483,0.2251027876
2003,T,10-19,Both,2,888483,0.2251027876
2003,T,10-19,Prescription,9,888483,1.012962544
2003,T,10-19,Illicit,3,888483,0.3376541813
2003,T,20-29,Neither,11,830796,1.3240314108
2003,T,20-29,Both,18,830796,2.1665968541
2003,T,20-29,Prescription,38,830796,4.573926692
2003,T,20-29,Illicit,26,830796,3.1295287893
2003,T,30-39,Neither,38,899424,4.224926175
2003,T,30-39,Both,25,899424,2.7795566941
2003,T,30-39,Prescription,80,899424,8.894581421
2003,T,30-39,Illicit,27,899424,3.0019212296
2003,T,40-49,Neither,42,980812,4.2821662051
2003,T,40-49,Both,43,980812,4.3841225434
2003,T,40-49,Prescription,132,980812,13.458236645
2003,T,40-49,Illicit,60,980812,6.1173802931
2003,T,50-59,Neither,22,776631,2.8327481133
2003,T,50-59,Both,28,776631,3.6053157806
2003,T,50-59,Prescription,87,776631,11.202231175
2003,T,50-59,Illicit,25,776631,3.219031947
2003,T,60-69,Neither,5,434852,1.1498164893
2003,T,60-69,Both,1,434852,0.2299632979
2003,T,60-69,Prescription,17,434852,3.9093760636
2003,T,60-69,Illicit,1,434852,0.2299632979
2003,T,70-79,Neither,2,301132,0.6641605675
2003,T,70-79,Both,0,301132,0
2003,T,70-79,Prescription,7,301132,2.3245619861
2003,T,70-79,Illicit,1,301132,0.3320802837
2003,T,80+,Neither,10,199782,5.005455947
2003,T,80+,Both,0,199782,0
2003,T,80+,Prescription,3,199782,1.5016367841
2003,T,80+,Illicit,0,199782,0
2004,F,Total,Neither,41,3113248,1.3169525846
2004,F,Total,Both,43,3113248,1.3811941741
2004,F,Total,Prescription,207,3113248,6.6490045123
2004,F,Total,Illicit,40,3113248,1.2848317898
2004,F,0-9,Neither,0,399475,0
2004,F,0-9,Both,0,399475,0
2004,F,0-9,Prescription,0,399475,0
2004,F,0-9,Illicit,1,399475,0.2503285562
2004,F,10-19,Neither,1,434482,0.230159132
2004,F,10-19,Both,0,434482,0
2004,F,10-19,Prescription,3,434482,0.6904773961
