year,sex,agegrp,drugname,deaths,pop,rate
Tot,F,Total,ACETAMINOPHEN,236,25856542,0.9127283919
Tot,F,Total,ALCOHOL,413,25856542,1.5972746858
Tot,F,Total,ALPRAZOLAM,184,25856542,0.7116187462
Tot,F,Total,AMITRIPTYLINE,215,25856542,0.831511035
Tot,F,Total,CITALOPRAM,304,25856542,1.1757179286
Tot,F,Total,COCAINE,340,25856542,1.3149476833
Tot,F,Total,DIAZEPAM,210,25856542,0.8121735691
Tot,F,Total,DIPHENHYDRAMINE,323,25856542,1.2492002991
Tot,F,Total,HEROIN,109,25856542,0.4215567573
Tot,F,Total,HYDROCODONE,298,25856542,1.1525129694
Tot,F,Total,METHADONE,853,25856542,3.2989716877
Tot,F,Total,METHAMPHETAMINE,201,25856542,0.7773661304
Tot,F,Total,MORPHINE,296,25856542,1.1447779831
Tot,F,Total,OPIATE,172,25856542,0.665208828
Tot,F,Total,OXYCODONE,477,25856542,1.8447942497
Tot,F,0-9,ACETAMINOPHEN,0,3292280,0
Tot,F,0-9,ALCOHOL,0,3292280,0
Tot,F,0-9,ALPRAZOLAM,0,3292280,0
Tot,F,0-9,AMITRIPTYLINE,0,3292280,0
Tot,F,0-9,CITALOPRAM,0,3292280,0
Tot,F,0-9,COCAINE,0,3292280,0
Tot,F,0-9,DIAZEPAM,0,3292280,0
Tot,F,0-9,DIPHENHYDRAMINE,0,3292280,0
Tot,F,0-9,HEROIN,0,3292280,0
Tot,F,0-9,HYDROCODONE,0,3292280,0
Tot,F,0-9,METHADONE,4,3292280,0.121496349
Tot,F,0-9,METHAMPHETAMINE,1,3292280,0.0303740873
Tot,F,0-9,MORPHINE,0,3292280,0
Tot,F,0-9,OPIATE,0,3292280,0
Tot,F,0-9,OXYCODONE,0,3292280,0
Tot,F,10-19,ACETAMINOPHEN,5,3498983,0.1428986651
Tot,F,10-19,ALCOHOL,4,3498983,0.1143189321
Tot,F,10-19,ALPRAZOLAM,2,3498983,0.0571594661
Tot,F,10-19,AMITRIPTYLINE,0,3498983,0
Tot,F,10-19,CITALOPRAM,3,3498983,0.0857391991
Tot,F,10-19,COCAINE,4,3498983,0.1143189321
Tot,F,10-19,DIAZEPAM,2,3498983,0.0571594661
Tot,F,10-19,DIPHENHYDRAMINE,4,3498983,0.1143189321
Tot,F,10-19,HEROIN,3,3498983,0.0857391991
Tot,F,10-19,HYDROCODONE,4,3498983,0.1143189321
Tot,F,10-19,METHADONE,12,3498983,0.3429567963
Tot,F,10-19,METHAMPHETAMINE,4,3498983,0.1143189321
Tot,F,10-19,MORPHINE,5,3498983,0.1428986651
Tot,F,10-19,OPIATE,3,3498983,0.0857391991
Tot,F,10-19,OXYCODONE,5,3498983,0.1428986651
Tot,F,20-29,ACETAMINOPHEN,25,3535346,0.7071443644
Tot,F,20-29,ALCOHOL,42,3535346,1.1880025321
Tot,F,20-29,ALPRAZOLAM,17,3535346,0.4808581678
Tot,F,20-29,AMITRIPTYLINE,11,3535346,0.3111435203
Tot,F,20-29,CITALOPRAM,26,3535346,0.7354301389
Tot,F,20-29,COCAINE,45,3535346,1.2728598559
Tot,F,20-29,DIAZEPAM,19,3535346,0.5374297169
Tot,F,20-29,DIPHENHYDRAMINE,27,3535346,0.7637159135
Tot,F,20-29,HEROIN,17,3535346,0.4808581678
Tot,F,20-29,HYDROCODONE,27,3535346,0.7637159135
Tot,F,20-29,METHADONE,81,3535346,2.2911477406
Tot,F,20-29,METHAMPHETAMINE,26,3535346,0.7354301389
Tot,F,20-29,MORPHINE,25,3535346,0.7071443644
Tot,F,20-29,OPIATE,16,3535346,0.4525723932
Tot,F,20-29,OXYCODONE,34,3535346,0.9617163355
Tot,F,30-39,ACETAMINOPHEN,41,3493900,1.1734737686
Tot,F,30-39,ALCOHOL,79,3493900,2.2610836029
Tot,F,30-39,ALPRAZOLAM,30,3493900,0.8586393429
Tot,F,30-39,AMITRIPTYLINE,41,3493900,1.1734737686
Tot,F,30-39,CITALOPRAM,48,3493900,1.3738229486
Tot,F,30-39,COCAINE,60,3493900,1.7172786857
Tot,F,30-39,DIAZEPAM,32,3493900,0.9158819657
Tot,F,30-39,DIPHENHYDRAMINE,73,3493900,2.0893557343
